onset	duration	temperature	ratings	regulate-up/down
10.217	12.5	44.300000	n/a	n/a
29.247	11.0	n/a	72.000000	n/a
47.48	12.5	44.300000	n/a	n/a
65.497	11.0	n/a	61.000000	n/a
85.724	12.5	46.300000	n/a	n/a
105.735	11.0	n/a	145.000000	n/a
124.965	12.5	42.300000	n/a	n/a
143.979	11.0	n/a	131.000000	n/a
161.215	12.5	42.300000	n/a	n/a
182.24	11.0	n/a	66.000000	n/a
201.47	12.5	45.300000	n/a	n/a
221.498	11.0	n/a	155.000000	n/a
238.733	12.5	43.300000	n/a	n/a
255.736	11.0	n/a	84.000000	n/a
271.958	12.5	45.300000	n/a	n/a
288.977	11.0	n/a	116.000000	n/a
307.21	12.5	46.300000	n/a	n/a
326.224	11.0	n/a	172.000000	n/a
344.457	12.5	43.300000	n/a	n/a
362.474	11.0	n/a	75.000000	n/a
380.706	12.5	44.300000	n/a	n/a
398.723	11.0	n/a	87.000000	n/a
