onset	duration	temperature	ratings	regulate-up/down	regulate-up/down
2482.216	12.5	45.300000	n/a	n/a	down
2501.23	11.0	n/a	102.000000	n/a	down
2520.46	12.5	43.300000	n/a	n/a	down
2540.472	11.0	n/a	33.000000	n/a	down
2558.704	12.5	46.300000	n/a	n/a	down
2576.721	11.0	n/a	93.000000	n/a	down
2593.957	12.5	45.300000	n/a	n/a	down
2612.987	11.0	n/a	65.000000	n/a	down
2631.22	12.5	43.300000	n/a	n/a	down
2652.228	11.0	n/a	35.000000	n/a	down
2669.464	12.5	42.300000	n/a	n/a	down
2687.481	11.0	n/a	29.000000	n/a	down
2707.708	12.5	46.300000	n/a	n/a	down
2725.725	11.0	n/a	107.000000	n/a	down
2741.946	12.5	44.300000	n/a	n/a	down
2760.96	11.0	n/a	21.000000	n/a	down
2778.196	12.5	42.300000	n/a	n/a	down
2795.215	11.0	n/a	10.000000	n/a	down
2814.445	12.5	44.300000	n/a	n/a	down
2834.457	11.0	n/a	8.000000	n/a	down
