,State,region,p_val
0,0,SOMATOMOTOR_NETWORK_medial,0.019520000000000003
1,0,SOMATOMOTOR_NETWORK_mediolateral,0.009760000000000001
2,0,CINGULATE_SULCUS_posterior,0.0
3,0,INFERIOR_MARGINAL_SULCUS,0.0
4,0,POSTERIOR_CINGULATE_CORTEX,0.0
5,1,PERIGENUAL_ANTERIOR_CINGULATE_CORTEX,0.039040000000000005
6,1,SUPERIOR_TEMPORAL_GYRUS_anterior,0.02928
7,1,left_SOMATOMOTOR_NETWORK_dorsolateral,0.009760000000000001
8,1,SOMATOMOTOR_NETWORK_medial,0.019520000000000003
9,1,SOMATOMOTOR_NETWORK_mediolateral,0.009760000000000001
10,1,FRONTAL_EYE_FIELD,0.0
11,1,HESCHLS GYRUS,0.0
12,1,SUPERIOR_TEMPORAL_GYRUS_middle,0.0
13,1,LATERAL_VISUAL_NETWORK_ventroposterior,0.02928
14,2,left_CEREBELLUM_CRUSII_anterior,0.009760000000000001
15,2,CEREBELLUM_VIIb_medial,0.0
16,2,PARIETO_OCCIPITAL_SULCUS_ventral,0.0
17,2,left_MIDDLE_TEMPORAL_GYRUS_posterior,0.0
18,2,POSTERIOR_CINGULATE_CORTEX,0.0
19,2,left_INFERIOR_PARIETAL_LOBULE,0.039040000000000005
20,2,PRECUNEUS_ventral,0.0
21,2,left_MIDDLE_FRONTAL_GYRUS_posterocaudal,0.0
22,2,left_MIDDLE_FRONTAL_GYRUS_posterorostral,0.0
23,2,right_MIDDLE_FRONTAL_GYRUS_posterior,0.0
24,2,left_INFERIOR_FRONTAL_SULCUS,0.0
25,2,right_SUPERIOR_FRONTAL_SULCUS,0.0
26,2,DORSOMEDIAL_PREFRONTAL_CORTEX_posterior,0.0
27,2,CAUDATE_NUCLEUS_HEAD_and_NUCLEUS_ACCUMBENS,0.009760000000000001
28,2,INFERIOR_TEMPORAL_GYRUS,0.0
29,2,SUPERIOR_TEMPORAL_GYRUS_middle,0.0
30,2,MEDIAL_VISUAL_NETWORK_anterodorsal,0.0
31,3,left_CEREBELLUM_CRUSII_anterior,0.02928
32,3,CEREBELLUM_VIIb_medial,0.0
33,3,left_MIDDLE_TEMPORAL_GYRUS_posterior,0.0
34,3,POSTERIOR_CINGULATE_CORTEX,0.0
35,3,left_INFERIOR_PARIETAL_LOBULE,0.0
36,3,PRECUNEUS_ventral,0.0
37,3,left_MIDDLE_FRONTAL_GYRUS_posterocaudal,0.0
38,3,left_MIDDLE_FRONTAL_GYRUS_posterorostral,0.0
39,3,right_MIDDLE_FRONTAL_GYRUS_posterior,0.02928
40,3,left_INFERIOR_FRONTAL_SULCUS,0.0
41,3,right_SUPERIOR_FRONTAL_SULCUS,0.0
42,3,CAUDATE_NUCLEUS_HEAD_and_NUCLEUS_ACCUMBENS,0.0
43,3,INFERIOR_TEMPORAL_GYRUS,0.0
44,3,MEDIODORSAL_VISUAL_NETWORK_posterior,0.02928
45,3,MEDIAL_VISUAL_NETWORK_anterodorsal,0.0
