onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	45.300000	n/a	down
865.23	11.0	n/a	112.000000	down
881.452	12.5	43.300000	n/a	down
901.464	11.0	n/a	33.000000	down
920.694	12.5	44.300000	n/a	down
941.719	11.0	n/a	47.000000	down
958.954	12.5	45.300000	n/a	down
976.971	11.0	n/a	50.000000	down
996.201	12.5	42.300000	n/a	down
1015.215	11.0	n/a	20.000000	down
1033.448	12.5	46.300000	n/a	down
1050.451	11.0	n/a	118.000000	down
1067.687	12.5	46.300000	n/a	down
1085.72	11.0	n/a	120.000000	down
1105.947	12.5	42.300000	n/a	down
1124.961	11.0	n/a	56.000000	down
1142.197	12.5	44.300000	n/a	down
1162.208	11.0	n/a	57.000000	down
1180.441	12.5	43.300000	n/a	down
1198.458	11.0	n/a	48.000000	down
